contractSymbol,expiration,strike,lastPrice,impliedVolatility
AAPL251128C00252500,2025-11-28,252.5,23.8,1.0000000000000004e-05
AAPL251128C00255000,2025-11-28,255.0,21.02,1.0000000000000004e-05
AAPL251128C00257500,2025-11-28,257.5,18.85,1.0000000000000004e-05
AAPL251128C00260000,2025-11-28,260.0,16.15,1.0000000000000004e-05
AAPL251128C00262500,2025-11-28,262.5,13.77,1.0000000000000004e-05
AAPL251128C00265000,2025-11-28,265.0,11.25,1.0000000000000004e-05
AAPL251128C00267500,2025-11-28,267.5,8.7,1.0000000000000004e-05
AAPL251128C00270000,2025-11-28,270.0,6.52,1.0000000000000004e-05
AAPL251128C00272500,2025-11-28,272.5,4.7,1.0000000000000004e-05
AAPL251128C00275000,2025-11-28,275.0,2.92,1.0000000000000004e-05
AAPL251128C00277500,2025-11-28,277.5,1.79,0.01563484375
AAPL251128C00280000,2025-11-28,280.0,0.77,0.0312596875
AAPL251128C00282500,2025-11-28,282.5,0.33,0.062509375
AAPL251128C00285000,2025-11-28,285.0,0.12,0.062509375
AAPL251128C00287500,2025-11-28,287.5,0.04,0.12500875
AAPL251128C00290000,2025-11-28,290.0,0.02,0.12500875
AAPL251128C00292500,2025-11-28,292.5,0.01,0.12500875
AAPL251128C00295000,2025-11-28,295.0,0.02,0.12500875
AAPL251128C00297500,2025-11-28,297.5,0.01,0.12500875
AAPL251128C00300000,2025-11-28,300.0,0.01,0.12500875
AAPL251128C00302500,2025-11-28,302.5,0.01,0.2500075
AAPL251128C00305000,2025-11-28,305.0,0.01,0.2500075
AAPL251128C00307500,2025-11-28,307.5,0.01,0.2500075
AAPL251128C00310000,2025-11-28,310.0,0.01,0.2500075
AAPL251128C00312500,2025-11-28,312.5,0.01,0.2500075
AAPL251128C00315000,2025-11-28,315.0,0.01,0.2500075
AAPL251128C00317500,2025-11-28,317.5,0.02,0.2500075
AAPL251128C00320000,2025-11-28,320.0,0.01,0.2500075
AAPL251128C00322500,2025-11-28,322.5,0.03,0.2500075
AAPL251128C00325000,2025-11-28,325.0,0.01,0.2500075
AAPL251128C00330000,2025-11-28,330.0,0.01,0.2500075
AAPL251128C00335000,2025-11-28,335.0,0.01,0.500005
AAPL251128C00340000,2025-11-28,340.0,0.01,0.500005
AAPL251128C00345000,2025-11-28,345.0,0.01,0.500005
AAPL251128C00350000,2025-11-28,350.0,0.01,0.500005
AAPL251128C00355000,2025-11-28,355.0,0.01,0.500005
AAPL251128C00360000,2025-11-28,360.0,0.01,0.500005
AAPL251128C00365000,2025-11-28,365.0,0.01,0.500005
AAPL251128C00370000,2025-11-28,370.0,0.01,0.500005
AAPL251128C00375000,2025-11-28,375.0,0.01,0.500005
AAPL251128C00395000,2025-11-28,395.0,0.01,0.500005
AAPL251128C00400000,2025-11-28,400.0,0.01,0.500005
AAPL251205C00110000,2025-12-05,110.0,160.42,1.0000000000000004e-05
AAPL251205C00120000,2025-12-05,120.0,150.51,1.0000000000000004e-05
AAPL251205C00130000,2025-12-05,130.0,140.54,1.0000000000000004e-05
AAPL251205C00140000,2025-12-05,140.0,130.59,1.0000000000000004e-05
AAPL251205C00150000,2025-12-05,150.0,119.14,1.0000000000000004e-05
AAPL251205C00160000,2025-12-05,160.0,111.66,1.0000000000000004e-05
AAPL251205C00165000,2025-12-05,165.0,101.75,1.0000000000000004e-05
AAPL251205C00170000,2025-12-05,170.0,103.03,1.0000000000000004e-05
AAPL251205C00175000,2025-12-05,175.0,93.39,1.0000000000000004e-05
AAPL251205C00180000,2025-12-05,180.0,87.74,1.0000000000000004e-05
AAPL251205C00185000,2025-12-05,185.0,85.83,1.0000000000000004e-05
AAPL251205C00190000,2025-12-05,190.0,84.18,1.0000000000000004e-05
AAPL251205C00195000,2025-12-05,195.0,80.39,1.0000000000000004e-05
AAPL251205C00200000,2025-12-05,200.0,71.0,1.0000000000000004e-05
AAPL251205C00205000,2025-12-05,205.0,66.17,1.0000000000000004e-05
AAPL251205C00210000,2025-12-05,210.0,66.41,1.0000000000000004e-05
AAPL251205C00215000,2025-12-05,215.0,57.97,1.0000000000000004e-05
AAPL251205C00220000,2025-12-05,220.0,56.75,1.0000000000000004e-05
AAPL251205C00225000,2025-12-05,225.0,46.59,1.0000000000000004e-05
AAPL251205C00230000,2025-12-05,230.0,46.48,1.0000000000000004e-05
AAPL251205C00235000,2025-12-05,235.0,42.09,1.0000000000000004e-05
AAPL251205C00240000,2025-12-05,240.0,37.04,1.0000000000000004e-05
AAPL251205C00245000,2025-12-05,245.0,28.34,1.0000000000000004e-05
AAPL251205C00247500,2025-12-05,247.5,29.55,1.0000000000000004e-05
AAPL251205C00250000,2025-12-05,250.0,25.89,1.0000000000000004e-05
AAPL251205C00252500,2025-12-05,252.5,23.45,1.0000000000000004e-05
AAPL251205C00255000,2025-12-05,255.0,22.1,1.0000000000000004e-05
AAPL251205C00257500,2025-12-05,257.5,19.07,1.0000000000000004e-05
AAPL251205C00260000,2025-12-05,260.0,16.95,1.0000000000000004e-05
AAPL251205C00262500,2025-12-05,262.5,15.07,1.0000000000000004e-05
AAPL251205C00265000,2025-12-05,265.0,12.88,1.0000000000000004e-05
AAPL251205C00267500,2025-12-05,267.5,10.4,1.0000000000000004e-05
AAPL251205C00270000,2025-12-05,270.0,8.15,1.0000000000000004e-05
AAPL251205C00272500,2025-12-05,272.5,6.32,1.0000000000000004e-05
AAPL251205C00275000,2025-12-05,275.0,4.8,1.0000000000000004e-05
AAPL251205C00277500,2025-12-05,277.5,3.5,0.007822421875
AAPL251205C00280000,2025-12-05,280.0,2.34,0.01563484375
AAPL251205C00282500,2025-12-05,282.5,1.49,0.0312596875
AAPL251205C00285000,2025-12-05,285.0,0.91,0.0312596875
AAPL251205C00287500,2025-12-05,287.5,0.57,0.062509375
AAPL251205C00290000,2025-12-05,290.0,0.3,0.062509375
AAPL251205C00292500,2025-12-05,292.5,0.16,0.062509375
AAPL251205C00295000,2025-12-05,295.0,0.1,0.062509375
AAPL251205C00297500,2025-12-05,297.5,0.06,0.12500875
AAPL251205C00300000,2025-12-05,300.0,0.05,0.12500875
AAPL251205C00305000,2025-12-05,305.0,0.03,0.12500875
AAPL251205C00310000,2025-12-05,310.0,0.02,0.12500875
AAPL251205C00315000,2025-12-05,315.0,0.01,0.12500875
AAPL251205C00320000,2025-12-05,320.0,0.02,0.12500875
AAPL251205C00325000,2025-12-05,325.0,0.01,0.2500075
AAPL251205C00330000,2025-12-05,330.0,0.01,0.2500075
AAPL251205C00335000,2025-12-05,335.0,0.01,0.2500075
AAPL251205C00340000,2025-12-05,340.0,0.03,0.2500075
AAPL251205C00345000,2025-12-05,345.0,0.02,0.2500075
AAPL251205C00350000,2025-12-05,350.0,0.02,0.2500075
AAPL251205C00355000,2025-12-05,355.0,0.01,0.2500075
AAPL251205C00360000,2025-12-05,360.0,0.04,0.2500075
AAPL251205C00370000,2025-12-05,370.0,0.01,0.2500075
AAPL251205C00375000,2025-12-05,375.0,0.01,0.2500075
AAPL251205C00380000,2025-12-05,380.0,0.04,0.500005
AAPL251205C00385000,2025-12-05,385.0,0.01,0.500005
AAPL251205C00390000,2025-12-05,390.0,0.01,0.500005
AAPL251205C00400000,2025-12-05,400.0,0.01,0.500005
AAPL251212C00120000,2025-12-12,120.0,154.48,1.0000000000000004e-05
AAPL251212C00150000,2025-12-12,150.0,123.47,1.0000000000000004e-05
AAPL251212C00160000,2025-12-12,160.0,112.0,1.0000000000000004e-05
AAPL251212C00170000,2025-12-12,170.0,105.25,1.0000000000000004e-05
AAPL251212C00190000,2025-12-12,190.0,85.0,1.0000000000000004e-05
AAPL251212C00195000,2025-12-12,195.0,80.68,1.0000000000000004e-05
AAPL251212C00200000,2025-12-12,200.0,73.95,1.0000000000000004e-05
AAPL251212C00205000,2025-12-12,205.0,65.67,1.0000000000000004e-05
AAPL251212C00210000,2025-12-12,210.0,66.6,1.0000000000000004e-05
AAPL251212C00215000,2025-12-12,215.0,60.37,1.0000000000000004e-05
AAPL251212C00220000,2025-12-12,220.0,53.0,1.0000000000000004e-05
AAPL251212C00225000,2025-12-12,225.0,50.0,1.0000000000000004e-05
AAPL251212C00230000,2025-12-12,230.0,46.62,1.0000000000000004e-05
AAPL251212C00235000,2025-12-12,235.0,40.28,1.0000000000000004e-05
AAPL251212C00240000,2025-12-12,240.0,33.7,1.0000000000000004e-05
AAPL251212C00245000,2025-12-12,245.0,29.25,1.0000000000000004e-05
AAPL251212C00250000,2025-12-12,250.0,25.1,1.0000000000000004e-05
AAPL251212C00255000,2025-12-12,255.0,22.7,1.0000000000000004e-05
AAPL251212C00260000,2025-12-12,260.0,18.35,1.0000000000000004e-05
AAPL251212C00265000,2025-12-12,265.0,13.15,1.0000000000000004e-05
AAPL251212C00270000,2025-12-12,270.0,9.42,1.0000000000000004e-05
AAPL251212C00275000,2025-12-12,275.0,6.2,1.0000000000000004e-05
AAPL251212C00280000,2025-12-12,280.0,3.65,0.01563484375
AAPL251212C00285000,2025-12-12,285.0,1.92,0.0312596875
AAPL251212C00290000,2025-12-12,290.0,0.88,0.062509375
AAPL251212C00295000,2025-12-12,295.0,0.37,0.062509375
AAPL251212C00300000,2025-12-12,300.0,0.19,0.062509375
AAPL251212C00305000,2025-12-12,305.0,0.09,0.12500875
AAPL251212C00310000,2025-12-12,310.0,0.05,0.12500875
AAPL251212C00315000,2025-12-12,315.0,0.04,0.12500875
AAPL251212C00320000,2025-12-12,320.0,0.01,0.12500875
AAPL251212C00325000,2025-12-12,325.0,0.03,0.12500875
AAPL251212C00330000,2025-12-12,330.0,0.01,0.12500875
AAPL251212C00335000,2025-12-12,335.0,0.01,0.12500875
AAPL251212C00340000,2025-12-12,340.0,0.01,0.2500075
AAPL251212C00345000,2025-12-12,345.0,0.01,0.2500075
AAPL251212C00350000,2025-12-12,350.0,0.01,0.2500075
AAPL251212C00380000,2025-12-12,380.0,0.01,0.2500075
AAPL251212C00390000,2025-12-12,390.0,0.01,0.2500075
AAPL251212C00400000,2025-12-12,400.0,0.01,0.2500075
AAPL251219C00005000,2025-12-19,5.0,270.2,1.0000000000000004e-05
AAPL251219C00010000,2025-12-19,10.0,261.5,1.0000000000000004e-05
AAPL251219C00015000,2025-12-19,15.0,253.5,1.0000000000000004e-05
AAPL251219C00020000,2025-12-19,20.0,247.25,1.0000000000000004e-05
AAPL251219C00025000,2025-12-19,25.0,245.7,1.0000000000000004e-05
AAPL251219C00030000,2025-12-19,30.0,241.24,1.0000000000000004e-05
AAPL251219C00035000,2025-12-19,35.0,236.07,1.0000000000000004e-05
AAPL251219C00040000,2025-12-19,40.0,230.91,1.0000000000000004e-05
AAPL251219C00045000,2025-12-19,45.0,223.7,1.0000000000000004e-05
AAPL251219C00050000,2025-12-19,50.0,220.14,1.0000000000000004e-05
AAPL251219C00055000,2025-12-19,55.0,214.22,1.0000000000000004e-05
AAPL251219C00060000,2025-12-19,60.0,212.15,1.0000000000000004e-05
AAPL251219C00065000,2025-12-19,65.0,206.5,1.0000000000000004e-05
AAPL251219C00070000,2025-12-19,70.0,197.95,1.0000000000000004e-05
AAPL251219C00075000,2025-12-19,75.0,197.59,1.0000000000000004e-05
AAPL251219C00080000,2025-12-19,80.0,190.1,1.0000000000000004e-05
AAPL251219C00085000,2025-12-19,85.0,186.42,1.0000000000000004e-05
AAPL251219C00090000,2025-12-19,90.0,178.29,1.0000000000000004e-05
AAPL251219C00095000,2025-12-19,95.0,173.2,1.0000000000000004e-05
AAPL251219C00100000,2025-12-19,100.0,175.7,1.0000000000000004e-05
AAPL251219C00105000,2025-12-19,105.0,164.24,1.0000000000000004e-05
AAPL251219C00110000,2025-12-19,110.0,159.59,1.0000000000000004e-05
AAPL251219C00115000,2025-12-19,115.0,154.75,1.0000000000000004e-05
AAPL251219C00120000,2025-12-19,120.0,149.34,1.0000000000000004e-05
AAPL251219C00125000,2025-12-19,125.0,147.58,1.0000000000000004e-05
AAPL251219C00130000,2025-12-19,130.0,146.5,1.0000000000000004e-05
AAPL251219C00135000,2025-12-19,135.0,137.97,1.0000000000000004e-05
AAPL251219C00140000,2025-12-19,140.0,135.0,1.0000000000000004e-05
AAPL251219C00145000,2025-12-19,145.0,131.08,1.0000000000000004e-05
AAPL251219C00150000,2025-12-19,150.0,126.4,1.0000000000000004e-05
AAPL251219C00155000,2025-12-19,155.0,121.13,1.0000000000000004e-05
AAPL251219C00160000,2025-12-19,160.0,117.0,1.0000000000000004e-05
AAPL251219C00165000,2025-12-19,165.0,108.27,1.0000000000000004e-05
AAPL251219C00170000,2025-12-19,170.0,103.75,1.0000000000000004e-05
AAPL251219C00175000,2025-12-19,175.0,101.65,1.0000000000000004e-05
AAPL251219C00180000,2025-12-19,180.0,97.05,1.0000000000000004e-05
AAPL251219C00185000,2025-12-19,185.0,91.4,1.0000000000000004e-05
AAPL251219C00190000,2025-12-19,190.0,85.54,1.0000000000000004e-05
AAPL251219C00195000,2025-12-19,195.0,81.83,1.0000000000000004e-05
AAPL251219C00200000,2025-12-19,200.0,77.45,1.0000000000000004e-05
AAPL251219C00205000,2025-12-19,205.0,71.85,1.0000000000000004e-05
AAPL251219C00210000,2025-12-19,210.0,67.15,1.0000000000000004e-05
AAPL251219C00215000,2025-12-19,215.0,61.6,1.0000000000000004e-05
AAPL251219C00220000,2025-12-19,220.0,56.33,1.0000000000000004e-05
AAPL251219C00225000,2025-12-19,225.0,52.0,1.0000000000000004e-05
AAPL251219C00230000,2025-12-19,230.0,47.64,1.0000000000000004e-05
AAPL251219C00235000,2025-12-19,235.0,42.38,1.0000000000000004e-05
AAPL251219C00240000,2025-12-19,240.0,37.76,1.0000000000000004e-05
AAPL251219C00245000,2025-12-19,245.0,32.23,1.0000000000000004e-05
AAPL251219C00250000,2025-12-19,250.0,27.3,1.0000000000000004e-05
AAPL251219C00255000,2025-12-19,255.0,22.35,1.0000000000000004e-05
AAPL251219C00260000,2025-12-19,260.0,18.7,1.0000000000000004e-05
AAPL251219C00265000,2025-12-19,265.0,14.2,1.0000000000000004e-05
AAPL251219C00270000,2025-12-19,270.0,10.53,1.0000000000000004e-05
AAPL251219C00275000,2025-12-19,275.0,7.5,1.0000000000000004e-05
AAPL251219C00280000,2025-12-19,280.0,4.8,0.01563484375
AAPL251219C00285000,2025-12-19,285.0,2.88,0.0312596875
AAPL251219C00290000,2025-12-19,290.0,1.59,0.0312596875
AAPL251219C00295000,2025-12-19,295.0,0.85,0.062509375
AAPL251219C00300000,2025-12-19,300.0,0.45,0.062509375
AAPL251219C00305000,2025-12-19,305.0,0.21,0.062509375
AAPL251219C00310000,2025-12-19,310.0,0.14,0.12500875
AAPL251219C00315000,2025-12-19,315.0,0.08,0.12500875
AAPL251219C00320000,2025-12-19,320.0,0.06,0.12500875
AAPL251219C00325000,2025-12-19,325.0,0.05,0.12500875
AAPL251219C00330000,2025-12-19,330.0,0.02,0.12500875
AAPL251219C00335000,2025-12-19,335.0,0.02,0.12500875
AAPL251219C00340000,2025-12-19,340.0,0.01,0.12500875
AAPL251219C00345000,2025-12-19,345.0,0.01,0.12500875
AAPL251219C00350000,2025-12-19,350.0,0.02,0.2500075
AAPL251219C00360000,2025-12-19,360.0,0.01,0.2500075
AAPL251219C00370000,2025-12-19,370.0,0.01,0.2500075
AAPL251219C00380000,2025-12-19,380.0,0.01,0.2500075
AAPL251219C00390000,2025-12-19,390.0,0.01,0.2500075
AAPL251219C00400000,2025-12-19,400.0,0.01,0.2500075
AAPL251219C00410000,2025-12-19,410.0,0.01,0.2500075
AAPL251219C00420000,2025-12-19,420.0,0.01,0.2500075
AAPL251219C00430000,2025-12-19,430.0,0.01,0.2500075
AAPL251219C00440000,2025-12-19,440.0,0.01,0.2500075
AAPL251219C00450000,2025-12-19,450.0,0.01,0.2500075
AAPL251226C00170000,2025-12-26,170.0,102.53,1.0000000000000004e-05
AAPL251226C00185000,2025-12-26,185.0,85.28,1.0000000000000004e-05
AAPL251226C00190000,2025-12-26,190.0,81.7,1.0000000000000004e-05
AAPL251226C00195000,2025-12-26,195.0,74.52,1.0000000000000004e-05
AAPL251226C00200000,2025-12-26,200.0,70.52,1.0000000000000004e-05
AAPL251226C00205000,2025-12-26,205.0,67.1,1.0000000000000004e-05
AAPL251226C00210000,2025-12-26,210.0,57.52,1.0000000000000004e-05
AAPL251226C00215000,2025-12-26,215.0,58.6,1.0000000000000004e-05
AAPL251226C00220000,2025-12-26,220.0,57.0,1.0000000000000004e-05
AAPL251226C00225000,2025-12-26,225.0,47.57,1.0000000000000004e-05
AAPL251226C00230000,2025-12-26,230.0,47.42,1.0000000000000004e-05
AAPL251226C00235000,2025-12-26,235.0,43.05,1.0000000000000004e-05
AAPL251226C00240000,2025-12-26,240.0,38.42,1.0000000000000004e-05
AAPL251226C00245000,2025-12-26,245.0,33.28,1.0000000000000004e-05
AAPL251226C00250000,2025-12-26,250.0,28.95,1.0000000000000004e-05
AAPL251226C00255000,2025-12-26,255.0,23.5,1.0000000000000004e-05
AAPL251226C00260000,2025-12-26,260.0,19.95,1.0000000000000004e-05
AAPL251226C00265000,2025-12-26,265.0,15.5,1.0000000000000004e-05
AAPL251226C00270000,2025-12-26,270.0,11.35,1.0000000000000004e-05
AAPL251226C00275000,2025-12-26,275.0,8.18,1.0000000000000004e-05
AAPL251226C00280000,2025-12-26,280.0,5.65,0.01563484375
AAPL251226C00285000,2025-12-26,285.0,3.55,0.0312596875
AAPL251226C00290000,2025-12-26,290.0,2.12,0.0312596875
AAPL251226C00295000,2025-12-26,295.0,1.24,0.062509375
AAPL251226C00300000,2025-12-26,300.0,0.65,0.062509375
AAPL251226C00305000,2025-12-26,305.0,0.32,0.062509375
AAPL251226C00310000,2025-12-26,310.0,0.21,0.062509375
AAPL251226C00315000,2025-12-26,315.0,0.14,0.12500875
AAPL251226C00320000,2025-12-26,320.0,0.07,0.12500875
AAPL251226C00325000,2025-12-26,325.0,0.03,0.12500875
AAPL251226C00330000,2025-12-26,330.0,0.02,0.12500875
AAPL251226C00335000,2025-12-26,335.0,0.03,0.12500875
AAPL251226C00340000,2025-12-26,340.0,0.11,0.12500875
AAPL251226C00345000,2025-12-26,345.0,0.04,0.12500875
AAPL251226C00350000,2025-12-26,350.0,0.02,0.12500875
AAPL251226C00355000,2025-12-26,355.0,0.04,0.12500875
AAPL251226C00360000,2025-12-26,360.0,0.01,0.2500075
AAPL251226C00365000,2025-12-26,365.0,0.02,0.2500075
AAPL251226C00380000,2025-12-26,380.0,0.02,0.2500075
AAPL251226C00400000,2025-12-26,400.0,0.03,0.2500075
